ID,Name,Lat,Lon,Population,Area,Distance travelled,Road length
37091,Harrisburg (SD),43.426252,-96.700563,3071,3.71663293833,,
35542,Greenwood (AR),35.214307,-94.255194,8619,16.3972147265,,
51688,Louisville (GA),33.004542,-82.399173,3273,6.1900715837,,
05815,Baxter Springs (KS),37.021334,-94.737759,5089,11.3829977449,,
61516,Neodesha (KS),37.425454,-95.684282,2570,3.70109300967,,
73396,Rapid City (SD),44.0837,-103.244558,81251,109.434767626,2582997.12,589.0
16075,Cherryville (NC),35.382722,-81.381857,6340,15.1229405763,,
57844,Moab (UT),38.559794,-109.533629,6883,11.0825591241,,
72424,Prineville (OR),44.310121,-120.844314,10905,16.3790848098,,
35785,Grove (OK),36.592166,-94.795112,7158,22.0459787952,,
27280,El Reno (OK),35.522928,-97.958573,15069,18.4769751791,,
76960,Russellville (KY),36.844789,-86.892016,6714,17.8087582467,,
80335,Seaside (OR),46.00444,-123.909966,8489,13.5715376982,,
23446,Denmark (SC),33.317242,-81.137059,3781,7.02663774334,,
78850,Sanford (ME),43.435952,-70.764267,13584,16.759813062,,
06112,Beaver Dam (WI),43.465787,-88.83322,17833,20.4142862857,,
88489,Trenton (TN),35.96438,-88.939807,3852,5.85596311747,,
89177,Tuttle (OK),35.268795,-97.697183,2517,10.0206639989,,
26578,El Dorado Springs (MO),37.869789,-94.023114,3454,4.95205726696,,
96373,Winnemucca (NV),40.950382,-117.741379,10268,23.6206915663,,
07462,Beulah (ND),47.265005,-101.781735,2949,3.57936356848,,
13294,Canton (IL),40.564329,-90.032578,14818,16.7106032879,,
10891,Browns Mills--Fort Dix (NJ),40.020284,-74.590178,37985,74.3533786715,,
82198,Sioux Center (IA),43.078023,-96.171518,6649,9.40424682863,,
24715,Dublin (GA),32.53722,-82.919988,20999,58.1245131722,,
55765,Mayfield (KY),36.735426,-88.64227,11356,19.6398798407,,
06598,Bellevue (IA),42.26479,-90.431551,2543,4.19060076252,,
82441,Sleepy Eye (MN),44.296742,-94.722119,3479,3.94973186826,,
19153,Columbus (KS),37.170063,-94.844214,3272,5.17738623256,,
